Date,Open,High,Low,Close,Adj Close,Volume
2006-06-19,2394.250000,2540.100098,2358.300049,2529.449951,2529.449951,0
2006-06-26,2546.300049,2565.449951,2401.050049,2562.500000,2562.500000,0
2006-07-03,2580.550049,2623.250000,2522.750000,2534.250000,2534.250000,0
2006-07-10,2536.300049,2610.600098,2525.899902,2560.149902,2560.149902,0
2006-07-17,2545.500000,2545.500000,2381.050049,2391.850098,2391.850098,0
2006-07-24,2366.449951,2566.600098,2334.750000,2545.600098,2545.600098,0
2006-07-31,2575.899902,2635.000000,2536.850098,2588.350098,2588.350098,0
2006-08-07,2576.800049,2703.899902,2569.199951,2692.649902,2692.649902,0
2006-08-14,2711.600098,2791.850098,2708.949951,2767.399902,2767.399902,0
2006-08-21,2768.399902,2808.050049,2724.750000,2793.699951,2793.699951,0
2006-08-28,2794.350098,2842.149902,2792.300049,2828.300049,2828.300049,0
2006-09-04,2846.350098,2892.750000,2846.350098,2884.300049,2884.300049,0
2006-09-11,2894.350098,2906.500000,2765.149902,2898.899902,2898.899902,0
2006-09-18,2913.850098,2952.949951,2852.500000,2934.649902,2934.649902,0
2006-09-25,2942.149902,2994.250000,2914.550049,2988.250000,2988.250000,0
2006-10-02,2994.550049,3011.600098,2943.250000,3002.649902,3002.649902,0
2006-10-09,2988.050049,3069.750000,2977.149902,3064.899902,3064.899902,0
2006-10-16,3078.000000,3101.750000,3035.300049,3057.050049,3057.050049,0
2006-10-23,3075.899902,3114.100098,3044.350098,3111.300049,3111.300049,0
2006-10-30,3109.100098,3163.100098,3100.500000,3161.399902,3161.399902,0
2006-11-06,3165.050049,3196.100098,3110.149902,3186.699951,3186.699951,0
2006-11-13,3195.550049,3248.449951,3186.949951,3200.600098,3200.600098,0
2006-11-20,3174.949951,3301.300049,3136.100098,3291.000000,3291.000000,0
2006-11-27,3294.750000,3320.399902,3262.050049,3318.899902,3318.899902,0
2006-12-04,3333.449951,3354.399902,3286.100098,3295.600098,3295.600098,0
2006-12-11,3294.300049,3294.300049,3026.850098,3235.449951,3235.449951,0
2006-12-18,3255.699951,3255.699951,3130.800049,3208.800049,3208.800049,0
2006-12-25,3215.899902,3308.149902,3214.000000,3295.050049,3295.050049,0
2007-01-01,3299.899902,3356.949951,3293.550049,3325.300049,3325.300049,0
2007-01-08,3312.600098,3365.600098,3209.000000,3362.100098,3362.100098,0
2007-01-15,3393.300049,3443.600098,3376.250000,3397.600098,3397.600098,0
2007-01-22,3412.100098,3437.449951,3363.600098,3431.600098,3431.600098,0
2007-01-29,3434.350098,3473.850098,3384.199951,3462.149902,3462.149902,0
2007-02-05,3466.750000,3505.550049,3442.750000,3453.350098,3453.350098,0
2007-02-12,3427.149902,3427.149902,3259.850098,3403.699951,3403.699951,0
2007-02-19,3412.800049,3431.500000,3226.649902,3241.750000,3241.750000,0
2007-02-26,3247.399902,3266.199951,3059.350098,3091.250000,3091.250000,0
2007-03-05,2999.300049,3093.050049,2931.000000,3048.149902,3048.149902,0
2007-03-12,3058.350098,3105.300049,2966.399902,2993.149902,2993.149902,0
2007-03-19,3010.149902,3193.949951,2996.949951,3168.649902,3168.649902,0
2007-03-26,3170.350098,3181.899902,3086.800049,3145.350098,3145.350098,4782000
2007-04-02,3067.300049,3114.350098,2997.850098,3100.850098,3100.850098,7603300
2007-04-09,3120.100098,3237.899902,3120.100098,3233.899902,3233.899902,10268400
2007-04-16,3253.500000,3357.000000,3253.000000,3353.600098,3353.600098,10792700
2007-04-23,3379.250000,3453.399902,3335.750000,3363.500000,3363.500000,12924200
2007-04-30,3336.050049,3454.550049,3331.899902,3410.399902,3410.399902,7268900
2007-05-07,3439.800049,3439.899902,3318.449951,3378.399902,3378.399902,12076300
2007-05-14,3427.300049,3515.800049,3406.500000,3503.550049,3503.550049,15576700
2007-05-21,3516.500000,3559.199951,3462.300049,3528.250000,3528.250000,14147000
2007-05-28,3555.199951,3596.000000,3527.000000,3575.149902,3575.149902,13824100
2007-06-04,3595.850098,3599.399902,3449.149902,3457.399902,3457.399902,13180900
2007-06-11,3484.800049,3512.550049,3413.050049,3486.699951,3486.699951,10311200
2007-06-18,3500.750000,3590.600098,3461.250000,3571.199951,3571.199951,10753400
2007-06-25,3575.350098,3626.100098,3558.949951,3625.750000,3625.750000,12027100
2007-07-02,3630.000000,3686.100098,3615.649902,3672.550049,3672.550049,13188600
2007-07-09,3690.500000,3795.250000,3660.000000,3780.750000,3780.750000,14826000
2007-07-16,3790.000000,3846.050049,3738.600098,3819.300049,3819.300049,15062400
2007-07-23,3813.949951,3883.899902,3690.149902,3711.550049,3711.550049,15053500
2007-07-30,3710.649902,3786.850098,3619.050049,3688.399902,3688.399902,12092000
2007-08-06,3628.850098,3793.850098,3562.149902,3628.699951,3628.699951,12849600
2007-08-13,3662.300049,3670.850098,3364.350098,3447.399902,3447.399902,12732200
2007-08-20,3550.100098,3568.149902,3362.800049,3478.949951,3478.949951,15668200
